DH IY0         [the       ] | [57 58  4 69 95]
DH AH0         [the       ] | [56 58  4  8]
AH0 N          [an        ] | [67]
DH AH1         [the       ] | [56 58  4 51]
DH AH0         [the       ] | [14  0 13 58  4 46]
DH AH1         [the       ] | [56 58  4]
AH0            [a         ] | [67 94 51]
AH0            [a         ] | [67 94 51]
DH IY0         [the       ] | [14 58  4 61]
DH AH0         [the       ] | [57 58  4]
AH0            [a         ] | [67 94 51]
DH AH1         [the       ] | [14  0 13 58  4]
DH AH0         [the       ] | [ 0 58  4  8 70]
DH AH0         [the       ] | [56 58  4 28 61]
DH IY0         [the       ] | [ 0 58 50 74 69]
DH AH0         [the       ] | [58  4  8]
EY1            [a         ] | [67 38 94]
AH0            [a         ] | [94 61]
DH AH1         [the       ] | [58  4 51]
AH0            [a         ] | [39 94 28 61]
AH0            [a         ] | [95 94 51]
AH0            [a         ] | [67 94]
DH AH1         [the       ] | [14 13 58  4]
DH AH0         [the       ] | [56 58  4 73]
AH0            [a         ] | [39 28 61]
AH0 N          [an        ] | [67 38 97 54 57 69]
DH AH0         [the       ] | [ 0 58  4]
DH AH1         [the       ] | [13 58  4 51]
DH IY0         [the       ] | [72  0 58 50 74 91]
DH IY0         [the       ] | [58 50 74 91]
AH0            [a         ] | [67 38  8]
DH AH0         [the       ] | [14  0 13 58  4  8 70]
DH AH0         [the       ] | [56 58  4]
DH AH0         [the       ] | [58  4]
DH AH1         [the       ] | [58  4]
DH IY0         [the       ] | [14 13 58 50 74 69]
DH AH0         [the       ] | [56 58  4]
AH0            [a         ] | [67 94]
DH AH0         [the       ] | [58  4]
AH0 N          [an        ] | [67 97 54]
AH0            [a         ] | [21 39 94]
DH IY0         [the       ] | [54 67 50 74 69]
DH IY0         [the       ] | [58  4 51]
DH AH0         [the       ] | [58  4 51]
DH IY0         [the       ] | [10 58  4]
AH0 N          [an        ] | [39 38 54 67]
AH0 N          [an        ] | [94 97 54 67]
DH AH1         [the       ] | [13 58  4]
DH AH0         [the       ] | [56 58  4  8]
DH AH1         [the       ] | [58  4]
AH0 N          [an        ] | [97  8 54]
DH IY0         [the       ] | [56 58  4 61]
DH AH0         [the       ] | [54 58  4]
DH AH0         [the       ] | [56  4]
DH AH0         [the       ] | [ 0 58  4]
DH AH0         [the       ] | [66 13 14 58  4 28]
DH IY0         [the       ] | [ 0 58  4]
DH AH0         [the       ] | [58  4  8]
AH0            [a         ] | [92 94 18]
AH0            [a         ] | [67 94 51]
DH AH0         [the       ] | [56 58  4]
AH0            [a         ] | [67 94 51 90]
DH AH1         [the       ] | [72 58  4 28]
EY1            [a         ] | [38 28 61]
DH AH0         [the       ] | [30 58  4 51]
DH IY0         [the       ] | [57 58  4  8]
DH AH0         [the       ] | [56 58  4 51]
AH0            [a         ] | [67 94  7]
AH0            [a         ] | [39 94]
AH0            [a         ] | [94]
DH AH1         [the       ] | [ 0 58  4]
DH IY0         [the       ] | [56 58  4 50 74 26 69]
DH AH1         [the       ] | [57 58  4]
AH0 N          [an        ] | [98 67]
DH AH1         [the       ] | [56 58  4]
DH AH0         [the       ] | [56 58  4  7]
DH AH0         [the       ] | [13 58  4 90]
DH AH1         [the       ] | [54 58  4]
DH AH1         [the       ] | [58  4 61]
DH AH1         [the       ] | [57 58  4]
DH AH1         [the       ] | [56 58  4 79 19]
DH AH0         [the       ] | [56 58  4 61]
DH AH0         [the       ] | [29 81 13 58  4 97]
DH AH1         [the       ] | [13 58  4]
DH AH0         [the       ] | [56 58  4]
DH IY0         [the       ] | [56 58  4 28]
AH0            [a         ] | [67 94 28]
EY1            [a         ] | [33 79 51]
AH0            [a         ] | [67 94]
DH AH0         [the       ] | [30 58  4 28 61]
AH0            [a         ] | [80]
DH AH0         [the       ] | [58  4]
DH IY0         [the       ] | [59 58 50 74 91]
AH0            [a         ] | [67 94 51]
AE1 N          [an        ] | [67 38 97 54 67]
DH IY0         [the       ] | [58  4 28]
DH AH0         [the       ] | [58  4 51]
DH AH1         [the       ] | [56 58  4]
DH IY0         [the       ] | [58 50 74 69 95]
AH0            [a         ] | [39 94]
AH0            [a         ] | [94]
DH AH1         [the       ] | [81 58  4 51]
DH AH0         [the       ] | [57 58  4]
DH AH1         [the       ] | [57 58  4]
DH AH1         [the       ] | [58  4]
DH IY0         [the       ] | [57 58 50 74 67]
DH IY0         [the       ] | [56 58  4]
DH AH0         [the       ] | [58  4  7]
DH IY0         [the       ] | [57 58  4 28]
DH AH1         [the       ] | [58  4 19]
DH AH0         [the       ] | [56 58  4 19]
DH AH1         [the       ] | [56 58  4 73]
DH AH0         [the       ] | [58  4 79 19]
DH AH0         [the       ] | [56 58  4]
AH0            [a         ] | [94 51]
DH IY0         [the       ] | [56 58 50 74]
DH IY0         [the       ] | [58 50 74]
AH0            [a         ] | [67 94 80  7]
AH0            [a         ] | [67 38 94 28 51 70]
DH AH1         [the       ] | [57 58  4]
AH0            [a         ] | [94 51]
DH AH0         [the       ] | [57 58  4 61]
DH AH0         [the       ] | [58  4]
DH AH1         [the       ] | [58  4]
DH AH0         [the       ] | [35 72 56 58  4 19]
DH IY0         [the       ] | [57 58 50 74]
DH IY0         [the       ] | [17 56 58  4 50 74]
DH AH0         [the       ] | [57 58  4 28]
DH AH0         [the       ] | [58  4 51]
AH0            [a         ] | [94 51 70]
DH AH0         [the       ] | [58  4]
AH0            [a         ] | [52 94 51]
DH AH0         [the       ] | [58  4 28 61]
DH AH0         [the       ] | [72 58  4]
DH IY0         [the       ] | [57 58 50 74 91]
AH0            [a         ] | [94]
DH AH0         [the       ] | [56 58  4 51]
DH IY0         [the       ] | [56 58  4 50 74 91]
DH AH0         [the       ] | [58  4]
DH AH0         [the       ] | [40 58  4 19]
AH0            [a         ] | [94]
AH0            [a         ] | [67 94  8]
DH AH1         [the       ] | [56 58  4]
DH IY0         [the       ] | [58 50 74 91]
DH AH1         [the       ] | [56 58  4]
EY1            [a         ] | [81 13 95 94 50 22]
DH AH0         [the       ] | [57 58  4 51]
AH0            [a         ] | [94  7]
AH0            [a         ] | [94 28  8]
AH0 N          [an        ] | [38 97 54 67]
AH0            [a         ] | [94  7]
AH0            [a         ] | [67 94]
DH AH0         [the       ] | [58  4 51]
DH AH1         [the       ] | [56 58  4]
DH IY0         [the       ] | [58  4 50 74 67]
DH AH0         [the       ] | [56 58  4 51]
DH AH1         [the       ] | [58  4]
AH0            [a         ] | [47 94]
AH0            [a         ] | [94 28 61]
DH AH0         [the       ] | [58  4 51]
DH AH1         [the       ] | [58  4]
DH AH0         [the       ] | [58  4 51]
DH AH0         [the       ] | [58  4 61]
AH0            [a         ] | [94 51]
AH0            [a         ] | [67 94 51]
AH0            [a         ] | [67 38 94  8]
DH AH0         [the       ] | [58  4  8 40]
AH0            [a         ] | [94 51]
EY1            [a         ] | [91 31 68]
DH IY0         [the       ] | [56 58 50 74 91]
DH AH0         [the       ] | [56 58  4]
DH AH1         [the       ] | [58  4]
