Class 0
2428-83699-0042 0.00 0.12
2428-83699-0027 0.71 0.85
2428-83699-0000 1.25 1.57
2428-83699-0006 0.93 1.05
2428-83699-0008 0.66 0.94
2428-83699-0008 9.62 9.94
2428-83699-0012 2.76 2.85
2428-83699-0012 5.38 5.70
2428-83699-0010 1.14 1.65
2428-83699-0003 3.39 3.78
2428-83699-0040 3.25 3.68
2428-83699-0037 0.44 0.57
2428-83699-0037 1.16 1.61
2428-83699-0028 1.32 1.69
2428-83699-0013 2.09 2.41
2428-83699-0017 6.58 6.67
2428-83699-0029 1.37 2.05
2428-83699-0034 0.23 0.75
2428-83699-0034 6.80 7.20
2428-83699-0038 0.00 0.44
2428-83699-0025 4.80 5.17
2428-83699-0035 0.37 0.70
2428-83699-0022 1.11 1.26
2428-83699-0020 2.34 2.51
2428-83699-0005 0.18 0.29
2428-83699-0030 0.00 0.22
2428-83705-0015 0.00 0.39
2428-83705-0015 9.50 9.80
2428-83705-0015 9.80 10.03
2428-83705-0022 4.30 4.56
2428-83705-0043 0.73 1.14
2428-83705-0031 0.25 0.59
2428-83705-0031 0.59 0.72
2428-83705-0011 3.75 4.38
2428-83705-0026 9.28 9.48
2428-83705-0025 4.38 4.59
2428-83705-0025 4.59 4.74
2428-83705-0005 1.99 2.66
2428-83705-0042 1.03 1.30
2428-83705-0042 3.31 3.47
2428-83705-0042 5.22 5.69
2428-83705-0036 0.00 0.53
2428-83705-0033 0.60 0.77
2428-83705-0030 0.86 1.24
2428-83705-0014 2.34 2.48
2428-83705-0018 1.77 1.97
2428-83705-0018 5.87 5.88
2428-83705-0012 1.30 1.53
2428-83705-0034 2.73 2.95
2428-83705-0034 3.06 3.34
2428-83705-0002 14.66 15.06
2428-83705-0028 4.41 4.57
2428-83705-0028 6.86 7.18
8297-275155-0009 1.67 1.88
8297-275155-0009 1.88 2.01
8297-275155-0009 2.78 2.94
8297-275155-0009 5.20 5.73
8297-275155-0000 1.55 1.83
8297-275155-0014 0.00 0.11
8297-275155-0014 5.20 6.05
8297-275155-0004 5.61 6.49
8297-275155-0003 1.55 1.93
8297-275155-0016 0.50 0.83
8297-275155-0016 6.35 6.82
8297-275155-0018 0.00 0.40
8297-275155-0012 2.72 2.92
8297-275155-0024 1.49 1.87
8297-275155-0024 4.83 5.51
8297-275155-0032 3.44 3.81
8297-275155-0032 8.26 8.64
8297-275155-0029 5.01 5.57
8297-275155-0029 5.57 6.24
8297-275155-0002 0.52 0.87
8297-275155-0002 1.97 2.57
8297-275155-0002 3.60 3.70
8297-275155-0015 3.57 4.43
8297-275155-0015 6.55 6.81
8297-275155-0017 0.00 0.15
8297-275156-0010 7.27 7.83
8297-275156-0011 3.65 3.74
8297-275156-0002 5.12 5.53
8297-275156-0003 7.60 7.85
8297-275156-0005 3.87 4.64
8297-275156-0005 5.37 5.86
8297-275156-0012 1.06 1.54
8297-275156-0012 2.96 3.24
8297-275156-0001 1.10 1.18
8297-275154-0008 1.34 1.51
8297-275154-0019 0.87 1.03
8297-275154-0019 6.73 7.07
8297-275154-0007 1.16 1.99
8297-275154-0014 2.36 2.51
8297-275154-0014 11.54 11.84
8297-275154-0014 15.60 16.03
8297-275154-0014 16.81 16.96
8297-275154-0018 0.51 0.74
