Class 0
1272-128104-0009 2.24 2.42
1272-128104-0009 10.63 10.75
1272-128104-0009 13.05 13.16
1272-128104-0010 4.26 4.35
1272-128104-0011 6.64 6.77
1272-135031-0004 0.29 0.42
1272-135031-0023 1.33 1.43
1272-135031-0024 4.23 4.34
1272-141231-0001 3.39 3.53
1272-141231-0010 4.17 4.26
1272-141231-0012 1.35 1.44
1272-141231-0028 2.18 2.27
1272-141231-0032 0.83 0.92
1462-170138-0011 7.28 7.41
1462-170138-0018 1.64 1.76
1462-170138-0021 6.87 6.94
1462-170138-0022 5.25 5.35
1462-170138-0025 0.72 0.84
1462-170142-0037 0.84 0.97
1462-170145-0001 0.73 0.86
1462-170145-0003 5.06 5.21
1673-143396-0000 4.45 4.53
1673-143396-0000 6.18 6.30
1673-143396-0000 13.15 13.25
1673-143396-0001 11.26 11.39
1673-143396-0002 0.65 0.75
1673-143396-0004 1.79 1.92
1673-143396-0004 8.97 9.09
1673-143396-0004 13.05 13.17
1673-143396-0005 3.75 3.83
1673-143396-0008 1.03 1.13
1673-143396-0008 13.45 13.56
1673-143396-0009 10.25 10.34
1673-143396-0012 11.75 11.89
1673-143396-0013 3.22 3.32
1673-143396-0017 0.97 1.05
1673-143396-0019 5.23 5.36
1673-143397-0000 0.93 1.01
1673-143397-0000 6.67 6.79
1673-143397-0001 4.83 4.92
1673-143397-0003 0.48 0.62
1673-143397-0004 4.02 4.11
1673-143397-0004 10.51 10.61
1673-143397-0005 5.75 5.84
1673-143397-0006 0.75 0.82
1673-143397-0007 1.33 1.44
1673-143397-0008 2.19 2.28
1673-143397-0008 2.79 2.88
1673-143397-0010 10.91 10.98
1673-143397-0012 7.83 7.91
1673-143397-0013 5.50 5.57
1673-143397-0015 3.73 3.84
1673-143397-0018 0.52 0.62
174-168635-0017 0.54 0.67
174-50561-0000 2.47 2.61
174-50561-0001 3.25 3.37
174-50561-0007 4.85 4.96
174-50561-0008 10.15 10.25
174-50561-0010 2.83 3.00
174-50561-0011 7.88 8.02
174-50561-0019 1.24 1.42
174-84280-0001 7.97 8.12
174-84280-0015 8.08 8.20
1919-142785-0001 1.85 1.95
1919-142785-0002 0.93 1.04
1919-142785-0002 8.49 8.59
1919-142785-0003 2.38 2.46
1919-142785-0005 17.48 17.58
1919-142785-0006 1.63 1.74
1919-142785-0008 0.63 0.74
1919-142785-0008 17.47 17.57
1919-142785-0011 8.85 8.97
1919-142785-0016 1.79 1.93
1919-142785-0019 0.46 0.57
1919-142785-0027 0.51 0.61
1919-142785-0030 1.83 1.93
1919-142785-0036 11.53 11.62
1919-142785-0047 13.85 13.99
1919-142785-0054 0.59 0.69
1919-142785-0054 4.52 4.61
1919-142785-0057 0.43 0.56
1919-142785-0057 3.99 4.09
1919-142785-0060 4.19 4.30
1988-147956-0000 4.71 4.82
1988-147956-0000 12.79 12.89
1988-147956-0022 1.33 1.46
1988-147956-0026 1.21 1.28
1988-148538-0001 5.19 5.29
1988-148538-0005 14.69 14.79
1988-148538-0009 6.49 6.58
1988-148538-0011 1.87 1.97
1988-148538-0015 6.39 6.47
1988-148538-0015 9.46 9.58
1988-24833-0020 0.69 0.76
1988-24833-0020 4.47 4.54
1988-24833-0024 2.89 3.00
1993-147149-0000 1.27 1.37
1993-147149-0005 1.83 1.94
1993-147149-0005 6.12 6.23
1993-147149-0006 1.06 1.23
1993-147149-0009 2.57 2.65
1993-147149-0014 1.33 1.43
1993-147149-0022 10.83 10.92
1993-147149-0023 4.45 4.55
1993-147149-0029 5.11 5.25
1993-147149-0030 2.24 2.34
1993-147149-0030 5.87 5.99
1993-147964-0000 0.95 1.02
1993-147965-0004 1.81 1.89
1993-147965-0006 4.83 4.93
1993-147966-0000 8.39 8.47
1993-147966-0001 0.87 0.98
1993-147966-0001 8.11 8.21
2035-147960-0013 1.27 1.36
2035-147961-0009 0.51 0.62
2035-147961-0021 2.74 2.85
2035-147961-0022 0.44 0.56
2035-147961-0023 0.26 0.38
2035-147961-0032 0.51 0.61
2035-147961-0032 3.83 3.93
2035-147961-0032 9.33 9.44
2035-147961-0034 1.41 1.51
2035-152373-0001 4.41 4.52
2035-152373-0003 0.51 0.60
2035-152373-0004 0.68 0.76
2035-152373-0009 0.51 0.63
2035-152373-0011 0.24 0.34
2035-152373-0012 7.17 7.22
2035-152373-0013 2.55 2.62
2035-152373-0014 4.82 4.95
2078-142845-0004 12.66 12.75
2078-142845-0007 7.63 7.76
2078-142845-0014 1.31 1.47
2078-142845-0025 9.45 9.57
2078-142845-0037 4.09 4.25
2086-149214-0000 6.31 6.41
2086-149214-0002 4.81 4.90
2086-149214-0003 0.99 1.07
2086-149220-0001 0.50 0.64
2086-149220-0001 4.23 4.30
2086-149220-0001 5.23 5.34
2086-149220-0012 0.38 0.51
2086-149220-0013 6.69 6.81
2086-149220-0018 4.00 4.10
2086-149220-0019 7.35 7.44
2086-149220-0032 1.76 1.87
2086-149220-0037 3.75 3.85
2086-149220-0038 2.91 2.98
2086-149220-0041 8.19 8.28
2086-149220-0042 1.39 1.47
2086-149220-0043 1.50 1.61
2086-149220-0044 2.71 2.79
2086-149220-0049 4.01 4.12
2086-149220-0049 7.97 8.09
2277-149874-0001 0.86 1.03
2277-149874-0001 2.31 2.39
2277-149874-0007 0.15 0.28
2277-149874-0017 1.09 1.20
2277-149896-0001 1.15 1.24
2277-149896-0018 3.68 3.79
2277-149896-0020 3.85 3.93
2277-149896-0025 2.75 2.87
2277-149897-0005 8.47 8.57
2277-149897-0009 0.51 0.61
2277-149897-0014 0.52 0.61
2277-149897-0015 1.95 2.04
2277-149897-0018 1.84 1.93
2277-149897-0029 1.83 1.93
2412-153947-0003 3.35 3.44
2412-153947-0003 5.29 5.38
2412-153947-0004 3.83 3.93
2412-153947-0009 4.28 4.38
2412-153947-0011 5.01 5.14
2412-153947-0011 8.17 8.25
2412-153947-0013 0.54 0.67
2412-153948-0000 4.75 4.84
2412-153948-0003 4.99 5.09
2412-153948-0005 1.35 1.44
2412-153948-0006 1.01 1.12
2412-153948-0010 0.34 0.45
2412-153948-0011 2.17 2.29
2412-153954-0008 1.61 1.72
2412-153954-0022 1.72 1.84
2412-153954-0022 2.55 2.68
2428-83699-0000 8.35 8.44
2428-83699-0000 11.83 11.91
2428-83699-0002 0.30 0.40
2428-83699-0004 0.34 0.46
2428-83699-0006 4.69 4.78
2428-83699-0020 0.51 0.60
2428-83699-0027 0.85 0.99
2428-83699-0033 0.28 0.43
2428-83699-0034 7.39 7.51
2428-83705-0000 2.70 2.82
2428-83705-0004 5.09 5.20
2428-83705-0005 2.77 2.86
2428-83705-0007 0.34 0.47
2428-83705-0011 1.80 1.90
2428-83705-0031 0.72 0.84
2428-83705-0037 2.97 3.04
2428-83705-0039 1.53 1.67
2428-83705-0041 2.65 2.74
2428-83705-0042 4.67 4.76
2428-83705-0042 8.60 8.68
251-118436-0008 3.21 3.32
251-118436-0014 0.69 0.81
251-118436-0015 1.68 1.77
251-136532-0000 3.12 3.30
251-136532-0003 0.48 0.60
251-136532-0004 9.78 9.92
251-136532-0005 0.50 0.64
251-136532-0016 7.55 7.66
251-136532-0017 14.13 14.21
251-136532-0018 3.53 3.68
251-136532-0019 5.59 5.67
251-137823-0004 2.47 2.56
251-137823-0009 2.65 2.78
251-137823-0011 0.13 0.26
251-137823-0014 1.33 1.46
251-137823-0016 4.40 4.52
251-137823-0019 0.52 0.63
2803-154320-0005 2.93 3.05
2803-154328-0002 0.51 0.63
2803-154328-0010 5.02 5.15
2803-154328-0011 3.74 3.87
2803-154328-0015 6.40 6.53
2803-154328-0015 11.33 11.41
2803-154328-0018 9.47 9.55
2803-154328-0019 2.01 2.09
2803-161169-0001 6.09 6.19
2803-161169-0008 9.45 9.60
2803-161169-0014 1.34 1.49
2803-161169-0015 1.87 1.98
2902-9006-0001 0.55 0.64
2902-9006-0002 8.17 8.31
2902-9006-0003 2.23 2.43
2902-9006-0003 4.87 4.99
2902-9006-0004 0.39 0.49
2902-9006-0005 19.03 19.15
2902-9006-0007 0.65 0.73
2902-9006-0007 1.42 1.52
2902-9006-0007 25.40 25.55
2902-9006-0008 1.17 1.26
2902-9006-0009 0.69 0.79
2902-9006-0009 5.27 5.36
2902-9006-0012 4.61 4.70
2902-9006-0014 13.53 13.63
2902-9006-0015 0.43 0.54
2902-9006-0017 10.48 10.58
2902-9006-0017 14.45 14.55
2902-9006-0018 8.62 8.73
2902-9006-0018 13.03 13.14
2902-9006-0018 19.35 19.42
2902-9008-0000 0.30 0.41
2902-9008-0001 0.37 0.53
2902-9008-0002 17.95 18.08
2902-9008-0006 1.39 1.53
2902-9008-0011 3.19 3.26
3000-15664-0014 3.56 3.69
3000-15664-0019 6.45 6.56
3000-15664-0019 10.17 10.25
3000-15664-0021 1.85 1.95
3000-15664-0021 2.31 2.40
3000-15664-0022 3.50 3.61
3000-15664-0022 4.49 4.62
3000-15664-0031 2.13 2.23
3000-15664-0033 10.17 10.28
3000-15664-0033 12.10 12.22
3000-15664-0033 14.79 14.91
3000-15664-0034 12.11 12.19
3000-15664-0035 0.67 0.75
3000-15664-0035 16.10 16.24
3000-15664-0036 2.71 2.84
3000-15664-0037 8.01 8.10
3000-15664-0038 11.89 12.00
3000-15664-0041 16.97 17.04
3000-15664-0043 0.40 0.53
3000-15664-0043 6.58 6.71
3000-15664-0043 6.71 6.86
3000-15664-0044 2.50 2.60
3081-166546-0006 2.40 2.50
3081-166546-0011 0.44 0.54
3081-166546-0024 0.30 0.41
3081-166546-0029 0.32 0.43
3081-166546-0030 2.45 2.56
3081-166546-0030 3.19 3.28
3081-166546-0037 5.49 5.63
3081-166546-0052 1.31 1.40
3081-166546-0058 1.93 2.04
3081-166546-0058 3.41 3.49
3081-166546-0070 4.31 4.43
3081-166546-0079 0.83 0.95
3081-166546-0081 1.79 1.90
3081-166546-0082 0.27 0.40
3081-166546-0086 0.34 0.46
3081-166546-0087 2.14 2.22
3081-166546-0088 8.19 8.29
3170-137482-0001 10.16 10.28
3170-137482-0005 1.54 1.61
3170-137482-0007 13.31 13.38
3170-137482-0007 13.79 13.91
3170-137482-0020 3.67 3.77
3170-137482-0023 7.30 7.36
3170-137482-0023 9.97 10.06
3170-137482-0024 1.71 1.85
3170-137482-0027 9.57 9.68
3170-137482-0030 4.31 4.39
3170-137482-0036 0.49 0.57
3170-137482-0038 4.71 4.84
3170-137482-0044 3.49 3.57
3536-23268-0007 4.11 4.18
3536-23268-0008 2.55 2.68
3536-23268-0008 5.55 5.65
3536-23268-0009 1.89 1.97
3536-23268-0011 8.09 8.16
3536-23268-0016 9.57 9.69
3536-23268-0018 3.42 3.57
3536-23268-0024 3.23 3.34
3536-23268-0024 4.51 4.61
3536-8226-0002 6.89 7.01
3536-8226-0004 12.69 12.83
3536-8226-0006 4.05 4.13
3536-8226-0010 3.37 3.50
3536-8226-0024 3.71 3.79
3536-8226-0032 2.76 2.83
3576-138058-0000 12.71 12.83
3576-138058-0002 19.75 19.87
3576-138058-0005 9.03 9.12
3576-138058-0009 3.73 3.86
3576-138058-0011 4.14 4.37
3576-138058-0020 18.89 18.98
3576-138058-0020 21.18 21.35
3576-138058-0021 3.05 3.16
3576-138058-0022 0.51 0.68
3576-138058-0024 8.79 8.87
3576-138058-0024 17.49 17.62
3576-138058-0036 1.10 1.24
3576-138058-0037 1.99 2.09
3576-138058-0038 6.87 6.97
3752-4943-0004 12.87 12.97
3752-4943-0021 1.41 1.50
3752-4943-0024 2.19 2.35
3752-4944-0013 4.93 5.02
3752-4944-0020 3.44 3.58
3752-4944-0021 1.19 1.27
3752-4944-0022 9.42 9.53
3752-4944-0027 6.88 6.98
3752-4944-0027 7.61 7.69
3752-4944-0031 2.27 2.39
3752-4944-0038 0.74 0.85
3752-4944-0058 1.09 1.18
3752-4944-0065 3.30 3.42
3752-4944-0066 1.46 1.55
3853-163249-0001 5.74 5.84
3853-163249-0002 4.91 5.01
3853-163249-0013 4.39 4.49
3853-163249-0017 6.55 6.64
3853-163249-0020 3.90 4.00
3853-163249-0030 2.31 2.43
3853-163249-0030 14.47 14.58
3853-163249-0031 5.31 5.42
3853-163249-0036 1.78 1.88
3853-163249-0041 5.09 5.25
3853-163249-0045 2.77 2.85
3853-163249-0046 14.07 14.18
3853-163249-0048 0.20 0.32
3853-163249-0052 4.89 5.00
422-122949-0001 9.83 9.94
422-122949-0010 2.43 2.57
422-122949-0010 6.74 6.81
422-122949-0010 31.35 31.49
422-122949-0011 0.39 0.53
422-122949-0011 5.19 5.30
422-122949-0015 13.02 13.09
422-122949-0017 0.85 0.95
422-122949-0021 2.04 2.16
422-122949-0026 9.53 9.63
422-122949-0028 2.11 2.22
5338-24615-0000 8.03 8.13
5338-24615-0002 22.44 22.57
5338-24615-0003 0.28 0.45
5338-24615-0006 4.99 5.10
5338-24615-0012 1.58 1.73
5338-24615-0014 4.02 4.13
5338-24615-0014 9.72 9.86
5338-24640-0001 9.35 9.43
5338-24640-0005 12.59 12.67
5338-24640-0006 2.94 3.02
5338-284437-0001 6.36 6.45
5338-284437-0009 5.55 5.64
5338-284437-0020 4.08 4.20
5338-284437-0024 0.40 0.56
5338-284437-0026 8.57 8.67
5338-284437-0029 3.26 3.36
5338-284437-0030 1.33 1.43
5338-284437-0032 1.68 1.79
5536-43358-0003 3.65 3.77
5536-43358-0008 0.58 0.70
5536-43358-0008 4.45 4.53
5536-43358-0013 1.29 1.39
5536-43358-0013 5.51 5.59
5536-43358-0014 0.66 0.75
5536-43358-0015 0.75 0.82
5536-43358-0018 6.61 6.72
5536-43359-0005 0.93 1.02
5536-43359-0006 1.69 1.82
5536-43359-0011 2.57 2.69
5536-43359-0011 14.61 14.68
5536-43359-0013 0.93 1.00
5536-43359-0013 2.01 2.09
5536-43359-0013 3.25 3.37
5536-43359-0015 3.87 3.95
5536-43363-0007 5.59 5.71
5536-43363-0008 4.83 4.95
5536-43363-0010 2.67 2.76
5536-43363-0014 4.61 4.73
5694-64025-0010 15.56 15.66
5694-64025-0014 9.37 9.47
5694-64029-0019 1.05 1.15
5694-64029-0019 1.97 2.06
5694-64029-0020 3.04 3.11
5694-64029-0022 2.23 2.35
5694-64029-0023 3.25 3.31
5694-64029-0023 4.86 4.98
5694-64029-0023 5.91 5.98
5694-64029-0031 1.19 1.28
5694-64038-0008 0.95 1.04
5694-64038-0021 2.33 2.42
5694-64038-0022 14.69 14.77
5895-34615-0012 0.36 0.48
5895-34622-0006 2.37 2.49
5895-34622-0011 13.52 13.66
5895-34622-0018 0.51 0.63
5895-34622-0020 1.19 1.31
5895-34629-0007 6.90 7.02
5895-34629-0008 0.66 0.77
5895-34629-0009 3.67 3.80
5895-34629-0015 0.90 1.03
5895-34629-0015 1.81 1.93
5895-34629-0019 0.39 0.50
5895-34629-0023 1.47 1.58
6241-61943-0001 0.47 0.56
6241-61943-0008 5.52 5.65
6241-61943-0009 1.54 1.63
6241-61943-0018 5.01 5.15
6241-61943-0025 3.05 3.15
6241-61943-0026 3.77 3.87
6241-61943-0027 7.78 7.85
6241-61946-0003 5.37 5.43
6241-61946-0006 5.15 5.24
6241-61946-0015 1.63 1.69
6241-61946-0021 2.75 2.85
6241-61946-0023 3.62 3.76
6241-66616-0000 7.63 7.73
6241-66616-0003 3.51 3.62
6241-66616-0010 7.93 8.02
6241-66616-0012 0.46 0.60
6241-66616-0019 3.05 3.12
6241-66616-0024 0.53 0.62
6295-244435-0003 1.65 1.74
6295-244435-0007 2.29 2.40
6295-244435-0008 12.25 12.33
6295-244435-0010 2.41 2.53
6295-244435-0010 4.06 4.16
6295-244435-0016 4.20 4.34
6295-244435-0025 2.66 2.78
6295-244435-0029 0.45 0.54
6295-244435-0029 1.91 2.00
6295-244435-0032 2.29 2.40
6295-244435-0036 0.86 0.97
6295-244435-0038 2.61 2.71
6295-244435-0039 0.74 0.83
6295-64301-0008 0.28 0.41
6295-64301-0026 4.15 4.28
6295-64301-0029 7.83 7.93
6313-66125-0004 1.53 1.62
6313-66125-0006 1.17 1.31
6313-66125-0010 1.13 1.20
6313-66125-0011 2.83 2.93
6313-66125-0014 0.24 0.36
6313-66125-0016 1.55 1.66
6313-66125-0018 1.71 1.82
6313-66125-0021 0.79 0.88
6313-66125-0022 6.06 6.21
6313-66125-0027 4.39 4.51
6313-66125-0027 6.12 6.23
6313-66125-0027 8.89 8.99
6313-66125-0027 13.31 13.41
6313-66129-0001 2.81 2.90
6313-66129-0011 0.70 0.81
6313-66129-0014 2.85 2.93
6313-66129-0015 5.32 5.42
6313-66129-0018 1.90 1.99
6313-66129-0018 4.91 5.02
6313-66129-0021 1.64 1.76
6313-66129-0021 11.55 11.64
6313-66129-0023 1.29 1.39
6313-66129-0025 0.67 0.80
6313-66129-0026 2.41 2.54
6313-66129-0034 1.99 2.09
6313-66129-0034 3.89 4.02
6313-66129-0034 6.02 6.11
6313-76958-0000 1.00 1.14
6313-76958-0005 3.59 3.66
6313-76958-0009 4.12 4.33
6313-76958-0010 0.40 0.50
6313-76958-0013 4.63 4.74
6313-76958-0017 4.43 4.50
6313-76958-0019 2.35 2.48
6313-76958-0020 1.59 1.68
6313-76958-0021 3.89 4.00
6313-76958-0021 4.91 5.01
6313-76958-0024 0.79 0.91
6313-76958-0024 2.30 2.38
6313-76958-0026 1.17 1.25
6313-76958-0027 2.83 2.92
6313-76958-0031 1.07 1.16
6319-275224-0005 1.18 1.32
6319-275224-0008 8.55 8.68
6319-275224-0011 16.23 16.34
6319-275224-0015 2.40 2.54
6319-57405-0003 7.25 7.38
6319-57405-0008 9.39 9.54
6319-64726-0001 0.81 0.91
6319-64726-0001 5.67 5.80
6319-64726-0001 8.53 8.59
6319-64726-0008 0.54 0.65
6319-64726-0011 1.39 1.48
6319-64726-0016 2.01 2.10
6319-64726-0018 1.66 1.76
6319-64726-0020 1.56 1.66
6345-64257-0001 4.35 4.50
6345-64257-0001 9.09 9.18
6345-64257-0002 6.30 6.43
6345-64257-0003 4.90 4.97
6345-64257-0003 6.11 6.21
6345-64257-0009 4.55 4.66
6345-93302-0002 5.78 5.91
6345-93302-0028 0.79 0.89
6345-93306-0001 7.73 7.84
6345-93306-0001 11.97 12.06
6345-93306-0005 0.85 0.92
6345-93306-0012 1.23 1.31
6345-93306-0013 1.19 1.25
6345-93306-0013 4.11 4.20
6345-93306-0021 2.89 2.97
6345-93306-0023 7.99 8.08
6345-93306-0023 10.67 10.76
6345-93306-0024 6.59 6.67
652-129742-0010 0.72 0.80
652-129742-0015 0.47 0.56
652-130726-0004 5.94 6.02
652-130726-0004 12.59 12.70
652-130726-0004 14.19 14.28
652-130726-0005 8.51 8.62
652-130726-0008 3.03 3.11
652-130726-0008 4.99 5.09
652-130726-0012 2.61 2.69
652-130726-0012 3.01 3.07
652-130726-0013 1.81 1.90
652-130726-0015 3.71 3.81
652-130726-0017 3.08 3.18
652-130726-0019 4.08 4.19
652-130726-0021 5.26 5.36
652-130726-0021 9.01 9.10
652-130726-0028 2.20 2.27
652-130726-0035 1.64 1.73
652-130737-0000 8.65 8.75
652-130737-0010 4.70 4.82
777-126732-0003 1.27 1.40
777-126732-0006 1.39 1.48
777-126732-0007 6.77 6.88
777-126732-0012 1.75 1.84
777-126732-0016 4.37 4.48
777-126732-0016 9.29 9.40
777-126732-0024 3.41 3.50
777-126732-0037 0.43 0.53
777-126732-0041 8.29 8.38
777-126732-0042 4.79 4.86
777-126732-0045 2.54 2.64
777-126732-0046 1.51 1.61
777-126732-0056 1.51 1.63
777-126732-0056 4.29 4.40
777-126732-0059 3.17 3.26
777-126732-0060 0.46 0.59
777-126732-0060 5.82 5.93
777-126732-0061 1.73 1.83
777-126732-0063 7.28 7.39
7850-281318-0001 2.97 3.09
7850-281318-0009 4.39 4.51
7850-281318-0011 0.51 0.63
7850-281318-0023 1.19 1.32
7850-281318-0023 3.67 3.78
7850-286674-0002 0.93 1.03
7850-286674-0005 5.85 5.93
7850-286674-0014 2.47 2.61
7850-73752-0007 9.34 9.46
7850-73752-0008 8.59 8.68
7850-73752-0010 7.76 7.87
7850-73752-0018 6.33 6.41
7850-73752-0018 8.59 8.76
7850-73752-0018 10.43 10.54
7850-73752-0018 12.42 12.54
7850-73752-0018 14.40 14.52
7976-105575-0000 5.47 5.55
7976-105575-0006 7.40 7.53
7976-105575-0013 4.00 4.14
7976-105575-0015 0.68 0.80
7976-105575-0015 5.40 5.52
7976-105575-0016 2.61 2.71
7976-105575-0018 0.90 1.03
7976-105575-0020 1.12 1.25
7976-105575-0029 1.03 1.15
7976-110124-0003 6.18 6.27
7976-110124-0006 3.16 3.24
7976-110124-0012 3.38 3.53
7976-110124-0021 0.72 0.82
7976-110124-0022 2.73 2.85
7976-110523-0004 5.71 5.79
7976-110523-0007 5.75 5.84
7976-110523-0008 7.29 7.38
7976-110523-0020 3.24 3.35
7976-110523-0021 2.61 2.73
8297-275154-0001 8.51 8.60
8297-275154-0009 1.04 1.16
8297-275154-0013 1.37 1.51
8297-275154-0014 7.71 7.81
8297-275155-0001 0.44 0.56
8297-275155-0003 1.46 1.55
8297-275155-0010 0.38 0.52
8297-275155-0028 1.01 1.12
8297-275155-0029 2.55 2.62
8297-275155-0031 1.19 1.28
8297-275156-0002 4.71 4.85
8297-275156-0003 3.29 3.40
8297-275156-0004 1.09 1.20
8297-275156-0008 0.70 0.85
8297-275156-0013 6.97 7.06
84-121123-0001 1.46 1.58
84-121123-0002 1.12 1.23
84-121123-0012 1.85 1.96
84-121123-0021 2.37 2.47
84-121123-0021 3.71 3.80
84-121123-0022 0.27 0.37
84-121123-0022 1.72 1.81
84-121550-0009 6.65 6.78
84-121550-0013 1.57 1.68
84-121550-0013 8.53 8.63
84-121550-0013 15.74 15.88
84-121550-0022 2.11 2.20
84-121550-0023 3.20 3.37
8842-302196-0001 3.83 3.91
8842-302196-0005 19.22 19.34
8842-302196-0009 4.27 4.37
8842-302196-0010 0.86 0.94
8842-302196-0010 2.73 2.83
8842-302201-0004 4.59 4.70
8842-302201-0006 8.01 8.10
8842-302201-0009 0.38 0.51
8842-302201-0010 0.48 0.60
8842-302201-0015 4.69 4.76
8842-302203-0000 0.67 0.77
8842-302203-0002 1.69 1.81
8842-302203-0006 3.09 3.17
8842-302203-0010 7.64 7.74
8842-304647-0002 4.71 4.78
8842-304647-0002 23.31 23.45
8842-304647-0002 24.63 24.72
8842-304647-0013 7.49 7.62

Class 1
1272-128104-0000 3.45 3.60
1272-128104-0004 15.51 15.71
1272-128104-0009 6.48 6.64
1272-135031-0002 5.88 6.07
1272-141231-0002 8.28 8.42
1272-141231-0010 5.10 5.26
1272-141231-0022 5.71 5.89
1272-141231-0031 0.61 0.87
1462-170138-0010 3.40 3.54
1462-170138-0021 6.76 6.87
1462-170138-0027 0.44 0.62
1462-170142-0003 1.42 1.54
1462-170142-0004 3.46 3.58
1462-170142-0011 2.13 2.28
1462-170142-0037 0.29 0.46
1462-170145-0000 6.82 6.94
1462-170145-0001 1.85 2.00
1462-170145-0003 7.20 7.33
1462-170145-0007 4.84 4.98
1462-170145-0011 1.52 1.66
1462-170145-0016 0.49 0.60
1462-170145-0017 2.32 2.46
1462-170145-0022 0.62 0.77
1673-143396-0001 9.51 9.62
1673-143396-0013 1.25 1.37
1673-143396-0015 1.10 1.23
1673-143397-0002 1.39 1.49
1673-143397-0002 6.94 7.04
1673-143397-0002 9.35 9.51
1673-143397-0005 3.61 3.76
1673-143397-0008 3.38 3.49
1673-143397-0010 8.00 8.16
1673-143397-0012 6.98 7.14
1673-143397-0013 2.42 2.53
1673-143397-0016 8.21 8.33
1673-143397-0016 10.88 11.00
1673-143397-0019 2.04 2.16
1673-143397-0019 2.81 2.91
174-168635-0003 3.93 4.07
174-50561-0003 2.17 2.30
174-50561-0005 3.65 3.83
174-50561-0015 7.28 7.43
174-50561-0017 0.98 1.14
174-84280-0006 0.70 0.89
174-84280-0010 0.54 0.64
1919-142785-0004 1.80 2.03
1919-142785-0005 5.17 5.37
1919-142785-0027 6.92 7.15
1919-142785-0040 2.46 2.58
1919-142785-0043 5.62 5.71
1919-142785-0049 0.62 0.79
1988-147956-0001 2.56 2.72
1988-147956-0007 4.82 4.95
1988-147956-0018 1.58 1.76
1988-147956-0020 5.06 5.18
1988-147956-0022 3.83 3.94
1988-147956-0026 1.92 2.03
1988-148538-0005 5.15 5.35
1988-148538-0005 14.57 14.69
1988-148538-0006 10.49 10.63
1988-148538-0013 8.19 8.34
1988-24833-0004 0.78 0.92
1993-147149-0001 5.58 5.73
1993-147149-0002 1.90 2.09
1993-147149-0020 2.78 2.91
1993-147149-0022 15.03 15.17
1993-147149-0024 9.46 9.60
1993-147149-0027 13.01 13.11
1993-147964-0001 1.09 1.24
1993-147964-0003 2.60 2.71
1993-147964-0008 1.03 1.13
1993-147965-0001 1.24 1.37
1993-147965-0002 7.19 7.31
1993-147965-0003 5.00 5.10
1993-147966-0005 1.88 2.01
2035-147960-0000 5.92 6.10
2035-147960-0001 2.55 2.67
2035-147960-0004 0.61 0.75
2035-147961-0001 3.48 3.63
2035-147961-0002 2.43 2.55
2035-147961-0004 3.55 3.66
2035-147961-0013 2.00 2.17
2035-147961-0014 1.74 1.89
2035-147961-0017 1.15 1.39
2035-147961-0017 1.39 1.56
2035-147961-0019 1.06 1.16
2035-147961-0029 0.73 0.87
2035-147961-0032 2.16 2.33
2035-147961-0033 0.46 0.61
2035-147961-0035 3.95 4.10
2035-147961-0036 1.92 2.05
2035-147961-0039 0.58 0.74
2035-152373-0005 0.64 0.80
2035-152373-0007 6.02 6.14
2035-152373-0012 7.03 7.17
2078-142845-0004 6.32 6.46
2078-142845-0004 18.16 18.35
2078-142845-0006 11.48 11.64
2078-142845-0021 4.78 5.00
2078-142845-0038 1.91 2.06
2078-142845-0047 0.57 0.70
2086-149214-0002 5.28 5.44
2086-149220-0002 14.34 14.46
2086-149220-0012 8.20 8.35
2086-149220-0013 1.39 1.59
2086-149220-0016 3.14 3.27
2086-149220-0025 0.57 0.69
2086-149220-0029 3.78 3.89
2086-149220-0031 0.72 0.85
2086-149220-0038 0.72 0.82
2086-149220-0038 0.82 0.96
2086-149220-0047 0.50 0.64
2086-149220-0049 9.86 10.00
2277-149874-0000 10.39 10.53
2277-149874-0014 2.11 2.33
2277-149874-0014 2.33 2.46
2277-149874-0014 4.61 4.77
2277-149874-0020 4.23 4.38
2277-149896-0001 4.18 4.31
2277-149896-0001 6.06 6.22
2277-149896-0007 2.70 2.83
2277-149896-0009 4.83 4.99
2277-149896-0011 3.58 3.76
2277-149896-0013 0.30 0.42
2277-149896-0017 2.70 2.82
2277-149896-0019 2.26 2.41
2277-149896-0023 2.64 2.79
