Class 0
1272-128104-0014 1.34 1.61
1272-135031-0001 5.58 5.68
1272-135031-0002 10.15 10.41
1272-135031-0006 1.86 2.01
1272-135031-0016 0.51 0.90
1272-135031-0023 2.27 2.30
1272-135031-0023 3.07 3.27
1272-135031-0023 3.27 3.51
1272-135031-0023 5.76 6.14
1272-135031-0023 6.27 6.84
1272-135031-0024 6.83 7.25
1272-141231-0010 9.28 9.33
1272-141231-0011 0.60 0.91
1272-141231-0014 5.34 5.44
1272-141231-0019 0.51 0.67
1272-141231-0019 1.38 1.41
1272-141231-0021 4.22 4.65
1272-141231-0022 3.29 3.41
1272-141231-0024 0.49 0.75
1462-170138-0000 4.97 5.32
1462-170138-0000 8.34 8.45
1462-170138-0001 3.71 3.98
1462-170138-0004 1.65 1.85
1462-170138-0005 2.87 3.03
1462-170138-0006 0.71 0.80
1462-170138-0009 1.60 1.96
1462-170138-0011 7.28 7.41
1462-170138-0015 0.70 0.83
1462-170138-0015 2.46 2.91
1462-170138-0017 2.79 3.01
1462-170138-0019 3.05 3.56
1462-170138-0021 0.64 1.06
1462-170138-0021 5.77 5.90
1462-170138-0022 3.10 3.28
1462-170138-0023 8.49 8.99
1462-170138-0024 8.68 8.80
1462-170142-0001 1.73 1.88
1462-170142-0006 3.35 3.74
1462-170142-0006 5.40 5.89
1462-170142-0010 3.05 3.27
1462-170142-0014 1.53 1.70
1462-170142-0021 2.81 2.98
1462-170142-0021 4.23 4.41
1462-170142-0027 2.43 2.71
1462-170145-0007 5.41 5.53
1462-170145-0011 0.91 1.25
1462-170145-0013 0.79 1.25
1462-170145-0013 2.11 2.45
1462-170145-0015 0.33 0.54
1462-170145-0020 1.98 2.15
1462-170145-0022 3.38 3.41
1673-143396-0000 8.38 8.55
1673-143396-0002 3.40 4.01
1673-143396-0002 4.42 4.88
1673-143396-0003 2.20 2.42
1673-143396-0003 6.77 7.08
1673-143396-0003 7.08 7.15
1673-143396-0003 7.15 7.74
1673-143396-0005 3.12 3.69
1673-143396-0006 11.20 11.40
1673-143396-0006 12.79 12.88
1673-143396-0008 4.80 5.05
1673-143396-0008 10.40 11.18
1673-143396-0009 14.34 14.42
1673-143396-0010 6.13 6.44
1673-143396-0011 6.58 6.70
1673-143396-0012 5.93 6.07
1673-143396-0012 7.55 7.65
1673-143396-0012 9.90 10.44
1673-143396-0013 0.67 0.73
1673-143396-0013 1.76 1.93
1673-143396-0013 7.87 8.08
1673-143396-0013 11.35 11.43
1673-143396-0014 4.90 5.08
1673-143396-0014 11.56 11.66
1673-143396-0015 2.70 3.24
1673-143396-0016 0.51 0.85
1673-143396-0016 3.42 3.97
1673-143396-0016 10.24 10.63
1673-143396-0016 11.30 11.67
1673-143396-0017 2.20 2.77
1673-143396-0017 6.81 7.27
1673-143396-0018 8.23 8.47
1673-143396-0019 0.84 0.92
1673-143396-0019 11.11 11.21
1673-143396-0019 12.04 12.11
1673-143396-0020 5.39 5.65
1673-143397-0000 5.49 5.57
1673-143397-0001 0.78 1.03
1673-143397-0001 5.71 5.95
1673-143397-0002 8.70 9.35
1673-143397-0002 12.58 13.03
1673-143397-0003 2.45 2.54
1673-143397-0004 2.94 3.14
1673-143397-0004 3.91 4.02
1673-143397-0004 7.25 7.65
1673-143397-0005 3.07 3.16
1673-143397-0005 9.61 9.89
1673-143397-0006 2.59 2.83
1673-143397-0006 3.43 3.95
1673-143397-0007 3.03 3.19
1673-143397-0010 4.42 4.51
1673-143397-0010 10.91 10.98
1673-143397-0010 11.51 12.00
1673-143397-0012 4.68 4.83
1673-143397-0013 1.90 1.98
1673-143397-0015 0.62 0.72
1673-143397-0016 6.38 6.80
1673-143397-0016 9.94 10.51
1673-143397-0018 1.73 2.16
1673-143397-0018 3.23 3.40
1673-143397-0019 3.42 3.68
1673-143397-0019 8.28 8.42
1673-143397-0019 11.11 11.66
1673-143397-0019 14.77 14.86
1673-143397-0020 1.39 1.47
1673-143397-0020 2.11 2.27
1673-143397-0020 15.32 15.38
174-168635-0002 11.24 11.52
174-168635-0004 5.59 5.88
174-168635-0004 7.26 7.72
174-168635-0018 12.74 12.82
174-50561-0000 1.48 1.57
174-50561-0000 1.77 1.89
174-50561-0001 8.78 8.94
174-50561-0005 2.51 2.99
174-50561-0008 6.08 6.41
174-50561-0008 10.80 11.43
